t_ms,ax_mg,ay_mg,az_mg,roll_acc_deg,pitch_acc_deg
1,0,-1,997,-0.076,-0.014
6,0,-1,1000,-0.076,-0.042
13,2,0,995,0.008,-0.155
19,1,0,1002,0.035,-0.07
25,-1,0,1000,0.036,0.07
31,1,0,1001,0.008,-0.07
38,0,1,1003,0.091,0.042
48,-1,0,998,-0.048,0.098
53,-1,0,1000,0.008,0.07
59,2,0,1000,0.008,-0.126
66,1,2,997,0.12,-0.07
72,-3,-4,998,-0.244,0.182
78,0,0,1000,0.036,-0.014
84,-2,-1,999,-0.104,0.126
91,0,0,1002,-0.02,0.042
96,0,-1,1000,-0.076,0.014
102,1,-1,1001,-0.076,-0.07
108,0,0,1001,0.036,-0.014
115,0,0,999,-0.02,-0.042
173,0,0,1000,0.036,-0.014
179,0,0,999,0.008,-0.042
186,1,0,1001,0.008,-0.07
192,0,0,1000,0.008,0.014
198,0,0,999,0.036,0.014
204,0,0,1001,-0.048,-0.014
211,0,2,998,0.148,0.014
216,1,1,998,0.064,-0.098
222,0,-2,998,-0.16,0.042
228,0,0,1000,0.008,0.014
235,0,0,1001,0.036,-0.014
240,2,0,1000,0.036,-0.126
246,-2,3,1001,0.203,0.153
252,2,0,1002,0.036,-0.126
259,0,0,999,-0.02,-0.014
264,-1,0,1000,-0.048,0.07
270,-2,1,999,0.064,0.126
276,0,-1,1000,-0.104,-0.014
283,0,-1,999,-0.076,0.042
288,1,-1,999,-0.104,-0.098
298,1,-2,1000,-0.132,-0.07
304,0,0,999,-0.048,-0.014
310,0,-3,1002,-0.216,-0.042
316,-1,-1,999,-0.104,0.098
322,0,-1,999,-0.076,0.014
332,0,-1,996,-0.105,-0.042
337,1,0,999,-0.02,-0.098
343,2,1,998,0.064,-0.126
350,2,3,999,0.204,-0.154
355,1,2,999,0.147,-0.098
361,0,3,999,0.204,0.014
367,2,0,1002,0.008,-0.154
374,-1,1,1002,0.091,0.098
379,0,0,1002,-0.02,0.014
385,0,1,999,0.064,0.042
391,-3,0,999,0.036,0.182
398,1,0,1001,-0.048,-0.098
403,-1,-5,997,-0.301,0.098
409,-1,-1,999,-0.104,0.098
415,-1,0,997,-0.048,0.07
422,0,-1,1001,-0.104,0.014
427,0,0,1000,-0.02,-0.014
433,0,0,1001,0.036,-0.042
440,0,2,1003,0.119,0.042
446,2,0,998,-0.048,-0.126
452,-1,1,1002,0.063,0.098
458,-5,0,999,-0.02,0.294
465,-2,1,1000,0.091,0.126
470,-2,-1,1001,-0.104,0.126
476,0,0,1001,-0.048,0.014
482,0,0,1000,0.036,-0.014
489,-1,2,999,0.147,0.07
494,1,-1,999,-0.076,-0.098
500,-1,0,999,0.036,0.098
506,0,-2,1000,-0.132,0.042
513,0,0,1000,-0.048,0.042
519,1,1,1001,0.063,-0.07
526,0,1,1000,0.064,-0.014
531,-1,1,1000,0.064,0.098
542,-1,0,1000,-0.048,0.098
548,1,0,1001,0.036,-0.098
554,1,2,999,0.12,-0.07
561,2,1,1000,0.091,-0.126
571,1,0,999,0.008,-0.098
577,0,0,998,-0.02,0.042
583,0,-2,1001,-0.16,0.014
590,-1,-1,999,-0.104,0.07
595,0,0,998,-0.02,0.042
601,-1,0,1000,-0.048,0.098
607,0,0,1000,0.008,0.014
614,0,-2,1001,-0.132,0.014
620,-1,-1,998,-0.104,0.098
625,1,0,999,0.008,-0.098
631,0,0,1000,-0.048,0.014
638,0,0,1001,-0.02,-0.014
643,0,4,998,0.232,0.014
649,-2,0,1001,-0.02,0.153
655,1,0,1000,0.036,-0.098
662,0,0,999,0.008,-0.014
667,1,1,999,0.064,-0.07
673,-2,1,1002,0.091,0.153
679,0,0,1002,0.036,0.042
686,2,-3,997,-0.189,-0.126
692,0,-1,1001,-0.076,-0.014
698,0,0,997,-0.048,0.042
704,2,0,1000,-0.048,-0.126
711,0,0,1001,-0.02,-0.042
716,0,-1,1001,-0.104,0.014
722,0,-1,1001,-0.076,-0.014
728,0,0,999,-0.048,-0.042
735,-2,0,1000,0.008,0.154
740,0,0,1000,-0.048,0.014
746,0,0,998,0.036,-0.014
752,-1,0,1000,0.008,0.098
759,1,0,999,0.008,-0.07
764,-1,2,1000,0.119,0.07
770,0,0,998,0.036,0.014
776,1,0,998,-0.02,-0.07
787,1,0,999,0.008,-0.07
793,0,0,1000,-0.02,0.042
799,0,0,1000,-0.02,0.042
806,0,2,999,0.148,0.014
817,0,1,1001,0.091,0.042
823,0,-1,1001,-0.104,0.042
829,-2,0,1000,-0.02,0.154
836,-3,-1,1002,-0.076,0.209
841,-2,1,1000,0.064,0.154
847,0,-2,999,-0.16,-0.014
853,-1,0,1001,-0.048,0.098
860,0,0,1001,-0.048,0.042
865,0,2,1000,0.119,-0.042
871,3,0,996,-0.02,-0.182
877,0,0,997,0.008,-0.042
884,2,1,1000,0.091,-0.126
889,0,0,1001,-0.02,0.014
895,-1,0,1000,-0.02,0.098
901,0,-2,1000,-0.16,0.042
908,0,0,1000,0.008,0.014
913,0,0,1000,-0.048,-0.042
919,-1,0,1000,-0.048,0.07
926,-2,0,1000,-0.02,0.126
932,0,-1,1000,-0.076,0.042
937,-1,0,1000,0.036,0.098
943,-2,-1,1001,-0.076,0.126
949,-1,-1,999,-0.104,0.07
956,0,2,999,0.148,0.042
961,0,1,1001,0.063,-0.042
967,-2,1,999,0.064,0.126
973,-1,0,998,-0.02,0.07
980,0,-1,999,-0.076,0.042
985,0,-1,997,-0.105,0.042
991,1,-1,998,-0.076,-0.098
997,0,-1,1001,-0.104,-0.014
1004,4,1,1000,0.064,-0.238
1009,2,-1,999,-0.076,-0.126
1015,-1,0,999,-0.02,0.098
1021,-1,1,998,0.064,0.07
1076,0,-1,1000,-0.104,-0.014
1081,1,0,1000,0.036,-0.098
1087,3,-1,1002,-0.076,-0.182
1096,0,1,1000,0.091,0.014
1101,0,0,999,-0.02,0.014
1107,0,-1,1002,-0.076,-0.042
1114,0,-1,996,-0.105,-0.042
1120,1,-1,999,-0.076,-0.098
1125,1,0,1000,0.008,-0.07
1131,0,-1,1001,-0.076,-0.042
1138,1,-1,999,-0.104,-0.07
1143,1,0,998,0.008,-0.07
1149,0,0,1000,-0.02,0.014
1155,-2,-1,1001,-0.104,0.125
1162,-2,1,998,0.064,0.126
1167,0,-1,999,-0.104,0.042
1173,0,0,999,-0.048,-0.014
1179,-2,-1,1000,-0.076,0.154
1186,-1,0,999,-0.02,0.07
1192,-2,0,1000,-0.02,0.154
1198,0,0,1000,-0.048,0.042
1204,0,0,999,-0.02,0.042
1211,0,-1,1000,-0.076,-0.014
1216,0,-1,999,-0.076,0.042
1222,-1,0,999,0.008,0.07
1228,-2,0,999,-0.048,0.154
1235,0,0,998,0.008,0.042
1240,0,0,1001,0.036,-0.014
1246,0,0,998,0.036,-0.014
1252,1,1,1000,0.064,-0.098
1259,-2,1,999,0.064,0.154
1264,0,0,999,-0.048,0.042
1270,-3,-2,1000,-0.132,0.181
1276,-2,0,1000,0.036,0.126
1283,-1,-1,996,-0.105,0.07
1288,-2,0,999,0.008,0.154
1294,0,1,999,0.092,-0.014
1300,3,0,1000,-0.02,-0.182
1309,-1,0,999,-0.048,0.098
1316,-1,-2,999,-0.132,0.098
1321,2,0,998,0.036,-0.154
1327,1,1,998,0.092,-0.098
1337,1,-2,999,-0.132,-0.098
1343,1,1,999,0.064,-0.07
1350,0,-1,999,-0.104,-0.042
1355,2,1,999,0.064,-0.126
1361,0,1,999,0.064,-0.014
1367,2,0,999,0.036,-0.126
1374,1,0,999,0.036,-0.098
1379,0,-1,1000,-0.076,0.042
1385,0,-1,999,-0.104,-0.042
1391,0,-1,1002,-0.076,-0.042
1398,1,-2,1000,-0.132,-0.07
1403,2,-1,997,-0.104,-0.154
1409,0,-2,999,-0.132,-0.042
1415,0,-1,1000,-0.076,0.014
1422,0,0,1001,0.008,-0.042
1427,0,-1,999,-0.104,0.042
1433,-2,1,997,0.064,0.126
1439,-1,-1,999,-0.104,0.07
1446,0,0,1000,0.036,-0.014
1452,0,1,1000,0.091,0.014
1458,0,2,1001,0.147,-0.042
1465,0,0,999,0.008,-0.014
1470,1,0,1000,0.036,-0.098
1476,0,-1,997,-0.104,0.014
1482,1,1,996,0.064,-0.07
1489,0,-2,1000,-0.132,-0.014
1494,0,0,999,0.036,-0.014
1500,1,0,1002,0.008,-0.098
1506,1,0,1001,0.008,-0.07
1513,3,0,1000,-0.02,-0.182
1518,-1,0,999,-0.02,0.07
1524,-1,-2,998,-0.132,0.098
1530,-1,0,999,-0.02,0.07
1540,-1,3,1000,0.175,0.07
