t_ms,ax_mg,ay_mg,az_mg,roll_acc_deg,pitch_acc_deg,gyro_int_roll,gyro_int_pitch
1,-2,0,1000,-0.012,0.142,0.000,-0.000
7,-1,-1,1001,-0.068,0.086,0.000,-0.000
14,-3,0,999,-0.040,0.198,0.000,-0.000
19,-1,1,997,0.100,0.059,0.000,-0.000
26,0,0,1000,0.044,-0.053,0.000,-0.000
31,0,0,999,0.044,-0.025,0.000,-0.000
38,-1,-2,998,-0.124,0.115,0.000,-0.000
43,2,0,999,0.016,-0.137,0.000,-0.000
50,0,0,1000,0.016,0.031,-0.000,-0.000
55,2,-1,997,-0.068,-0.165,-0.000,-0.000
62,4,0,998,-0.012,-0.277,-0.000,-0.000
67,2,0,998,0.044,-0.165,-0.000,-0.000
131,-2,-1,999,-0.068,0.143,-0.000,-0.000
136,-2,-2,1000,-0.124,0.170,-0.000,-0.000
143,0,1,998,0.100,0.031,-0.000,-0.000
150,0,0,999,-0.012,0.031,-0.000,-0.000
155,-1,1,1001,0.071,0.086,-0.000,-0.000
161,0,0,999,-0.040,-0.053,-0.000,-0.000
168,0,2,1000,0.155,-0.053,-0.000,-0.000
173,1,0,1001,-0.040,-0.109,-0.000,-0.000
179,0,0,1002,-0.012,-0.025,-0.000,-0.000
191,0,1,1000,0.100,-0.053,-0.000,-0.000
196,1,0,999,0.016,-0.081,-0.000,-0.000
202,0,0,999,-0.040,-0.053,-0.000,-0.000
208,-1,0,1000,0.016,0.114,-0.000,-0.000
218,-2,2,1000,0.127,0.142,-0.000,0.000
225,0,-2,1001,-0.124,0.003,-0.000,0.000
231,0,0,1001,0.044,0.003,-0.000,0.000
238,1,-1,997,-0.096,-0.081,-0.000,0.000
244,0,-1,999,-0.096,0.003,-0.000,0.000
250,-1,1,1000,0.100,0.059,-0.000,0.000
255,1,-1,997,-0.096,-0.081,-0.000,0.000
261,1,0,1002,0.044,-0.109,-0.000,0.000
268,0,0,1001,0.016,-0.025,-0.000,0.000
273,4,0,1001,-0.012,-0.249,-0.000,0.000
279,2,0,999,0.044,-0.165,-0.000,0.000
286,1,0,997,0.044,-0.081,-0.000,0.000
292,0,-1,999,-0.068,-0.025,-0.000,0.000
298,1,-1,999,-0.068,-0.109,-0.000,0.000
304,1,0,998,0.016,-0.081,-0.000,0.000
310,1,-1,1000,-0.096,-0.109,-0.000,0.000
317,1,-1,999,-0.068,-0.081,-0.000,0.000
322,-1,2,999,0.128,0.087,-0.000,0.000
328,0,0,999,-0.040,0.031,-0.000,0.000
335,0,0,999,0.044,0.031,-0.000,0.000
341,-1,1,997,0.072,0.115,-0.000,0.000
347,-1,0,998,-0.012,0.059,-0.000,0.000
353,-2,0,999,-0.040,0.170,-0.000,0.000
360,-1,0,1001,0.044,0.114,-0.000,0.000
366,0,2,1000,0.127,0.031,-0.000,0.000
371,-1,1,1000,0.072,0.114,-0.000,0.000
381,1,2,1000,0.127,-0.081,-0.000,0.000
388,2,0,998,0.016,-0.137,-0.000,0.000
395,1,3,1001,0.183,-0.109,-0.000,0.000
400,2,3,1002,0.183,-0.137,-0.000,0.000
412,1,3,999,0.183,-0.109,-0.000,0.000
418,0,0,1000,0.044,-0.025,-0.000,0.000
423,0,0,1000,-0.012,-0.025,-0.000,0.000
430,-1,0,1002,-0.012,0.114,-0.000,0.000
435,-1,0,1000,0.044,0.059,-0.000,0.000
442,0,-1,998,-0.096,-0.025,-0.000,0.000
447,-1,1,1001,0.099,0.059,-0.000,0.000
453,0,-1,1000,-0.068,0.031,-0.000,0.000
459,-1,-2,998,-0.152,0.059,-0.000,0.000
466,0,2,999,0.128,0.031,-0.000,0.000
471,-1,0,999,0.016,0.115,-0.000,0.000
478,1,0,999,-0.040,-0.081,-0.000,0.000
483,0,0,999,0.016,-0.025,-0.000,0.000
490,2,0,998,0.044,-0.165,-0.000,0.000
495,1,0,998,-0.040,-0.081,-0.000,0.000
501,2,1,1000,0.100,-0.165,-0.000,0.000
507,0,2,999,0.128,-0.053,-0.000,0.000
514,0,2,998,0.156,0.003,-0.000,0.000
519,2,3,1000,0.211,-0.165,-0.000,0.000
526,0,0,998,0.016,0.003,-0.000,0.000
531,0,0,1000,0.016,0.003,-0.000,0.000
538,0,0,999,-0.012,0.003,-0.000,0.000
547,0,1,1000,0.072,-0.025,-0.000,0.000
553,-3,1,999,0.100,0.198,-0.000,0.000
559,0,0,999,-0.012,-0.025,-0.000,0.000
566,-1,0,1000,0.016,0.087,-0.000,0.000
572,-1,0,1001,-0.012,0.059,-0.000,0.000
578,-4,0,1000,0.016,0.254,-0.000,0.000
584,-1,-1,1000,-0.096,0.059,-0.000,0.000
591,-1,0,1000,0.016,0.114,-0.000,0.000
596,0,0,998,0.016,0.031,-0.000,0.000
602,0,0,1000,0.016,0.031,-0.000,0.000
608,0,0,1001,0.016,-0.025,-0.000,0.000
615,0,2,999,0.156,-0.053,-0.000,0.000
625,0,0,999,-0.040,-0.025,-0.000,0.000
630,0,1,1000,0.072,0.003,-0.000,0.000
636,0,2,1000,0.155,-0.025,-0.000,0.000
643,-2,-1,999,-0.068,0.170,-0.000,0.000
650,1,0,1002,0.016,-0.109,-0.000,0.000
655,1,0,1000,-0.040,-0.081,-0.000,0.000
662,0,1,1000,0.072,-0.025,-0.000,0.000
668,2,1,1000,0.099,-0.137,-0.000,0.000
675,0,0,999,-0.012,0.031,-0.000,0.000
680,1,2,1000,0.127,-0.081,-0.000,0.000
687,-1,0,1002,0.044,0.058,-0.000,0.000
692,0,0,1001,0.016,0.003,-0.000,0.000
698,1,0,1000,-0.012,-0.081,-0.000,0.000
704,2,-3,998,-0.208,-0.137,-0.000,0.000
711,1,0,998,-0.012,-0.081,-0.000,0.000
764,-1,2,999,0.128,0.115,-0.000,0.000
770,-1,-2,998,-0.124,0.115,-0.000,0.000
775,-1,-1,999,-0.096,0.059,-0.000,0.000
781,0,0,999,-0.012,0.031,-0.000,0.000
788,-2,0,999,0.044,0.143,-0.000,0.000
793,-1,0,999,0.016,0.059,-0.000,0.000
799,-3,0,999,0.016,0.198,-0.000,0.000
806,0,0,1000,0.016,0.003,-0.000,0.000
812,-1,1,998,0.100,0.087,-0.000,0.000
818,-1,0,999,-0.040,0.087,-0.000,0.000
824,1,0,998,0.044,-0.081,-0.000,0.000
831,0,0,999,-0.012,-0.025,-0.000,0.000
836,1,0,997,0.016,-0.109,-0.000,0.000
842,2,0,1000,-0.012,-0.137,-0.000,0.000
848,0,-1,999,-0.068,0.003,-0.000,0.000
855,0,-1,999,-0.096,-0.053,-0.000,0.000
861,0,-1,999,-0.068,0.031,-0.000,0.000
867,0,0,999,0.016,-0.025,-0.000,0.000
879,1,0,1001,-0.012,-0.081,-0.000,0.000
884,-1,1,1000,0.100,0.059,-0.000,0.000
890,1,2,999,0.128,-0.109,-0.000,0.000
896,-1,0,998,0.044,0.115,-0.000,0.000
903,1,1,999,0.100,-0.081,-0.000,0.000
908,-1,0,998,-0.040,0.087,-0.000,0.000
915,0,-2,998,-0.124,-0.025,-0.000,0.000
920,0,-1,997,-0.096,-0.053,-0.000,0.000
930,0,0,1002,-0.012,-0.053,-0.000,0.000
937,1,1,996,0.072,-0.110,-0.000,0.000
942,4,1,998,0.072,-0.277,-0.000,0.000
948,1,0,999,0.016,-0.081,-0.000,0.000
955,1,2,999,0.156,-0.109,-0.000,0.000
961,0,0,1000,0.044,-0.053,-0.000,0.000
967,0,-1,1000,-0.096,-0.025,-0.000,0.000
973,2,0,1000,-0.040,-0.137,-0.000,0.000
980,0,0,999,0.044,-0.025,-0.000,0.000
986,-1,0,999,0.044,0.059,-0.000,0.000
