t_ms,ax_mg,ay_mg,az_mg,roll_acc_deg,pitch_acc_deg,gyro_int_roll,gyro_int_pitch
1,2,0,998,0.044,-0.127,-0.000,-0.000
7,0,0,1001,0.044,0.041,-0.000,-0.000
14,0,0,1000,-0.040,0.041,-0.000,-0.000
19,-2,0,998,0.044,0.153,-0.000,-0.000
25,0,-1,999,-0.096,-0.043,-0.000,-0.000
31,0,0,1001,-0.040,-0.015,-0.000,-0.000
38,1,-2,998,-0.124,-0.099,-0.000,-0.000
43,1,0,999,-0.040,-0.071,-0.000,-0.000
49,2,-1,999,-0.068,-0.127,-0.000,-0.000
56,-1,2,999,0.128,0.069,-0.000,-0.000
62,0,-2,1000,-0.152,-0.043,-0.000,-0.000
67,0,0,1001,-0.040,-0.015,-0.000,-0.000
132,0,1,1003,0.099,-0.043,-0.000,-0.000
138,-1,1,999,0.072,0.069,-0.000,-0.000
144,0,1,1000,0.100,-0.043,-0.000,-0.000
150,0,-1,1000,-0.096,-0.015,-0.000,-0.000
159,-1,0,999,-0.012,0.069,-0.000,-0.000
164,2,1,999,0.072,-0.127,-0.000,-0.000
170,1,0,999,0.044,-0.099,-0.000,-0.000
177,0,0,1000,-0.040,0.041,-0.000,-0.000
183,-1,0,1000,-0.012,0.069,-0.000,-0.000
189,0,0,999,0.016,0.041,-0.000,-0.000
196,1,-3,999,-0.208,-0.071,-0.000,-0.000
202,1,2,998,0.128,-0.099,-0.000,-0.000
213,0,-1,999,-0.096,0.041,-0.000,-0.000
218,0,-1,998,-0.068,0.013,-0.000,-0.000
225,-1,-1,1000,-0.096,0.069,-0.000,-0.000
230,0,0,1000,0.044,-0.043,-0.000,-0.000
236,0,1,999,0.100,0.013,-0.000,-0.000
242,0,0,999,-0.012,0.041,-0.000,-0.000
249,0,0,999,0.016,0.013,-0.000,-0.000
254,0,0,1000,0.016,0.041,-0.000,-0.000
260,2,0,998,0.016,-0.127,-0.000,-0.000
266,0,1,1001,0.100,0.041,-0.000,-0.000
273,1,1,1000,0.072,-0.099,-0.000,-0.000
279,0,0,999,0.016,-0.015,-0.000,-0.000
285,-1,0,999,0.044,0.069,-0.000,-0.000
292,0,0,999,0.016,0.013,-0.000,-0.000
298,0,-1,999,-0.068,0.041,-0.000,-0.000
304,0,0,999,0.016,0.041,-0.000,-0.000
310,-1,-3,1001,-0.208,0.069,-0.000,-0.000
317,0,-1,999,-0.096,-0.043,-0.000,-0.000
322,0,-1,1000,-0.068,0.041,-0.000,-0.000
328,-1,0,1001,-0.040,0.097,-0.000,-0.000
334,0,0,1000,-0.012,-0.015,-0.000,-0.000
341,0,1,999,0.072,-0.015,-0.000,-0.000
346,0,0,999,-0.012,-0.043,-0.000,-0.000
353,-1,0,997,-0.040,0.069,-0.000,-0.000
358,0,1,997,0.072,0.013,-0.000,-0.000
365,0,-2,1000,-0.152,-0.043,-0.000,-0.000
380,1,0,1001,-0.040,-0.071,-0.000,-0.000
385,1,0,997,0.044,-0.071,-0.000,-0.000
391,0,-2,1003,-0.151,-0.042,-0.000,-0.000
398,1,0,998,-0.012,-0.071,-0.000,-0.000
404,0,1,999,0.100,0.013,-0.000,-0.000
410,0,0,1000,0.016,-0.015,-0.000,-0.000
417,0,2,1000,0.128,0.041,-0.000,-0.000
422,1,2,999,0.128,-0.071,-0.000,-0.000
428,0,-2,999,-0.152,-0.043,-0.000,-0.000
434,1,0,1001,-0.040,-0.070,-0.000,-0.000
441,-1,-1,999,-0.096,0.069,-0.000,-0.000
447,0,-1,999,-0.096,-0.015,-0.000,-0.000
453,1,0,997,0.044,-0.071,-0.000,-0.000
459,0,0,997,-0.040,-0.015,-0.000,-0.000
466,0,0,998,0.044,-0.015,-0.000,-0.000
471,0,0,1000,-0.012,0.041,-0.000,-0.000
477,0,1,1000,0.072,-0.043,-0.000,-0.000
483,2,0,999,0.044,-0.155,-0.000,-0.000
490,0,0,1001,-0.012,0.013,-0.000,-0.000
