t_ms,ax_g,ax_lpf_g
1,0.000,0.000
6,0.001,0.001
13,-0.002,-0.002
18,-0.000,-0.001
24,0.002,0.002
30,-0.000,-0.000
37,0.001,0.001
43,0.001,0.001
49,0.002,0.002
54,0.000,0.000
60,-0.000,-0.000
66,-0.000,-0.000
72,-0.001,-0.001
78,-0.001,-0.001
84,0.001,0.001
91,0.001,0.001
96,-0.003,-0.003
102,-0.000,-0.001
109,0.001,0.001
115,-0.000,-0.000
121,-0.001,-0.001
127,-0.002,-0.002
134,-0.002,-0.002
139,0.001,0.000
145,0.003,0.003
151,0.002,0.002
158,0.001,0.002
163,0.000,0.000
169,-0.000,-0.000
175,0.001,0.001
182,-0.001,-0.001
240,0.002,0.002
245,-0.001,-0.001
251,0.001,0.001
257,0.001,0.001
264,-0.001,-0.001
274,0.001,0.001
279,0.001,0.001
285,0.000,0.000
292,-0.001,-0.001
297,0.001,0.000
303,-0.000,-0.000
309,0.000,-0.000
316,-0.001,-0.001
322,0.001,0.000
329,0.000,0.000
334,0.002,0.002
340,0.000,0.000
346,-0.000,-0.000
352,-0.002,-0.002
358,0.001,0.001
365,0.001,0.001
370,0.001,0.001
376,-0.000,-0.000
382,0.000,0.000
389,0.002,0.002
394,0.002,0.002
400,0.001,0.002
406,-0.002,-0.002
413,0.001,0.001
418,-0.000,-0.000
429,0.002,0.002
434,0.001,0.001
441,0.001,0.001
446,0.001,0.001
452,0.001,0.001
458,0.000,0.000
465,0.001,0.001
470,0.001,0.001
476,-0.000,-0.000
482,0.001,0.000
489,0.000,0.000
495,-0.000,-0.000
501,-0.000,-0.000
507,0.000,-0.000
514,-0.002,-0.002
519,0.000,-0.000
525,0.001,0.000
531,0.000,0.000
538,0.001,0.001
548,-0.001,-0.001
554,0.001,0.001
561,-0.000,-0.000
566,0.000,-0.000
572,0.000,0.000
578,-0.001,-0.001
585,-0.001,-0.001
590,-0.000,-0.001
596,0.000,-0.000
602,0.001,0.001
609,0.001,0.001
615,-0.001,-0.001
621,0.001,0.001
627,0.001,0.001
634,-0.000,-0.000
639,0.001,0.001
645,-0.001,-0.001
651,-0.003,-0.003
658,0.003,0.003
663,0.001,0.001
669,0.001,0.001
675,-0.000,-0.000
682,-0.001,-0.001
687,-0.004,-0.004
693,-0.000,-0.001
699,0.000,-0.000
706,0.001,0.001
711,-0.000,-0.000
717,0.001,0.000
