t_ms,roll_acc,roll_comp,pitch_acc,pitch_comp
2,-0.007,0.012,-0.053,0.025
10,-0.063,0.004,-0.053,0.017
16,0.021,0.006,0.003,0.015
22,-0.063,-0.001,0.087,0.023
29,0.049,0.004,0.142,0.034
35,0.133,0.017,0.031,0.034
41,-0.091,0.006,-0.081,0.022
47,-0.119,-0.007,0.198,0.040
53,-0.147,-0.021,0.031,0.039
60,0.105,-0.008,-0.053,0.030
66,0.104,0.003,-0.053,0.021
73,-0.035,-0.001,-0.137,0.005
79,0.132,0.012,-0.081,-0.003
85,-0.091,0.002,0.114,0.008
91,-0.007,0.001,0.087,0.016
98,0.049,0.005,-0.053,0.009
104,-0.147,-0.010,0.087,0.017
172,-0.091,-0.018,-0.053,0.010
178,-0.063,-0.023,0.003,0.009
185,0.021,-0.018,0.059,0.014
191,-0.035,-0.020,0.003,0.013
197,0.021,-0.016,0.031,0.015
204,0.161,0.002,0.059,0.019
210,-0.007,0.001,0.031,0.020
216,-0.119,-0.011,0.059,0.024
223,0.049,-0.005,0.031,0.025
229,0.021,-0.003,0.003,0.023
235,0.077,0.005,0.115,0.032
242,-0.007,0.004,-0.053,0.023
248,-0.063,-0.003,-0.025,0.019
254,-0.063,-0.009,0.003,0.017
261,-0.063,-0.014,-0.109,0.004
267,-0.007,-0.014,-0.053,-0.001
273,-0.035,-0.016,-0.193,-0.020
284,-0.007,-0.015,0.086,-0.010
290,-0.007,-0.014,0.031,-0.006
296,-0.091,-0.022,0.087,0.004
303,0.021,-0.018,0.059,0.009
309,0.021,-0.014,-0.053,0.003
315,0.160,0.004,0.003,0.003
321,-0.035,-0.000,0.059,0.009
327,-0.007,-0.002,0.059,0.014
334,0.049,0.003,0.059,0.018
340,-0.007,0.002,0.059,0.022
348,-0.007,0.001,-0.081,0.012
355,-0.007,0.000,-0.025,0.008
362,-0.063,-0.006,-0.053,0.002
368,-0.035,-0.009,0.003,0.002
374,-0.175,-0.026,-0.025,-0.001
380,0.104,-0.012,0.031,0.002
387,0.132,0.002,0.003,0.002
393,-0.007,0.002,-0.025,-0.000
399,0.021,0.003,0.114,0.011
406,0.077,0.011,0.031,0.013
412,0.049,0.015,0.059,0.017
418,0.021,0.015,-0.109,0.005
425,0.105,0.024,0.059,0.010
431,0.021,0.024,-0.081,0.002
437,-0.007,0.020,0.003,0.002
444,0.021,0.021,0.031,0.005
450,0.049,0.024,0.087,0.013
456,-0.063,0.015,-0.137,-0.002
463,-0.091,0.004,0.003,-0.002
469,-0.035,0.000,-0.109,-0.012
475,0.049,0.005,0.031,-0.008
482,-0.035,0.001,-0.081,-0.016
488,-0.007,0.000,0.059,-0.009
494,-0.091,-0.009,-0.025,-0.010
500,0.021,-0.006,0.170,0.009
510,-0.063,-0.012,0.031,0.011
517,0.049,-0.006,-0.109,-0.001
523,0.077,0.003,0.115,0.011
531,0.049,0.007,-0.109,-0.001
537,-0.007,0.005,0.031,0.002
543,-0.091,-0.004,-0.053,-0.004
550,0.104,0.007,0.031,-0.001
556,-0.007,0.005,-0.053,-0.006
563,-0.091,-0.004,0.003,-0.005
569,-0.007,-0.005,-0.109,-0.016
575,0.021,-0.002,0.059,-0.008
582,0.132,0.011,-0.081,-0.015
588,0.077,0.018,0.143,0.001
594,0.105,0.026,-0.081,-0.008
600,0.105,0.034,-0.025,-0.009
606,0.077,0.039,0.003,-0.008
613,0.077,0.043,0.003,-0.007
619,-0.063,0.033,0.059,-0.000
625,0.049,0.034,-0.025,-0.003
632,-0.035,0.027,0.031,0.000
638,0.105,0.035,0.031,0.003
644,0.021,0.034,0.087,0.012
651,0.049,0.035,-0.081,0.002
657,0.160,0.047,-0.025,-0.001
663,-0.063,0.036,0.031,0.002
670,0.049,0.037,0.142,0.016
676,-0.063,0.027,0.087,0.023
683,-0.007,0.024,0.087,0.030
689,-0.119,0.010,0.031,0.030
695,-0.035,0.005,-0.053,0.021
701,-0.091,-0.004,0.087,0.028
713,-0.063,-0.010,-0.025,0.022
719,-0.035,-0.013,-0.109,0.009
726,-0.091,-0.021,0.031,0.012
736,0.076,-0.011,-0.025,0.008
742,0.021,-0.008,0.087,0.016
750,0.049,-0.002,-0.053,0.009
756,-0.035,-0.006,0.087,0.017
762,0.049,0.000,-0.025,0.013
770,0.104,0.011,0.003,0.012
776,0.021,0.012,-0.109,0.000
782,-0.035,0.007,-0.053,-0.005
789,0.105,0.017,-0.053,-0.010
795,0.049,0.021,0.031,-0.006
801,-0.091,0.010,-0.137,-0.019
808,0.077,0.016,-0.081,-0.025
814,0.104,0.025,-0.109,-0.034
820,0.133,0.036,-0.025,-0.033
826,-0.091,0.024,0.003,-0.029
833,0.049,0.026,0.031,-0.024
839,-0.007,0.022,-0.081,-0.029
845,0.189,0.039,-0.109,-0.037
851,0.049,0.040,-0.081,-0.042
858,-0.035,0.032,0.003,-0.037
864,0.132,0.042,0.059,-0.027
870,0.105,0.048,0.003,-0.024
877,-0.063,0.037,0.031,-0.018
883,-0.035,0.030,0.003,-0.016
894,0.021,0.029,0.087,-0.006
900,-0.035,0.022,0.003,-0.005
906,0.021,0.022,0.003,-0.004
912,-0.035,0.017,0.087,0.005
918,-0.035,0.012,-0.053,-0.001
925,0.049,0.016,-0.081,-0.009
931,0.049,0.018,0.031,-0.005
937,0.105,0.027,-0.053,-0.010
944,0.105,0.035,-0.109,-0.020
950,-0.035,0.028,0.059,-0.012
956,-0.063,0.019,0.003,-0.011
1011,0.021,0.019,-0.137,-0.023
1018,-0.035,0.014,-0.025,-0.023
1024,0.021,0.014,0.003,-0.020
1031,0.021,0.015,-0.025,-0.021
1037,-0.007,0.013,0.031,-0.015
1043,-0.007,0.011,0.031,-0.011
1050,0.021,0.012,-0.053,-0.016
1056,-0.007,0.010,0.031,-0.011
1063,-0.007,0.008,0.031,-0.007
1069,-0.147,-0.008,-0.081,-0.014
1075,0.021,-0.005,0.003,-0.013
1082,0.077,0.003,0.087,-0.003
1088,0.049,0.008,-0.025,-0.005
1094,0.021,0.009,-0.053,-0.010
1100,0.021,0.010,-0.025,-0.011
1107,0.049,0.014,-0.025,-0.012
1113,-0.063,0.006,-0.081,-0.019
1125,-0.007,0.005,0.059,-0.012
1131,-0.007,0.004,0.003,-0.010
1137,-0.007,0.003,-0.053,-0.014
1143,-0.063,-0.004,0.114,-0.001
1150,0.077,0.004,0.003,-0.001
1156,-0.063,-0.002,0.059,0.005
1162,0.049,0.003,0.031,0.008
1169,-0.007,0.002,0.003,0.007
1175,-0.063,-0.005,0.031,0.009
1181,0.021,-0.002,0.115,0.020
1187,-0.063,-0.009,0.003,0.018
1194,0.076,-0.000,-0.109,0.006
1200,-0.063,-0.007,0.031,0.008
1206,0.021,-0.004,0.003,0.008
1213,0.076,0.004,0.142,0.022
1219,-0.063,-0.003,-0.053,0.015
1229,-0.007,-0.003,0.031,0.016
1235,-0.063,-0.009,0.031,0.018
1242,0.049,-0.003,0.003,0.016
1248,-0.091,-0.012,-0.053,0.009
1254,-0.007,-0.011,-0.025,0.006
1261,-0.035,-0.014,0.003,0.006
1267,0.077,-0.005,-0.081,-0.003
1273,-0.119,-0.016,-0.025,-0.005
1280,-0.119,-0.027,0.114,0.007
1286,-0.147,-0.039,0.059,0.012
1292,-0.091,-0.044,0.003,0.011
1303,-0.119,-0.052,-0.025,0.007
1309,-0.035,-0.050,-0.025,0.004
1315,0.077,-0.037,-0.109,-0.007
1321,-0.147,-0.048,-0.053,-0.012
1327,-0.063,-0.050,0.003,-0.010
1334,-0.007,-0.045,0.059,-0.003
1340,0.021,-0.039,0.087,0.006
1346,-0.035,-0.038,-0.025,0.002
1353,-0.119,-0.046,-0.053,-0.003
1359,0.021,-0.039,-0.025,-0.005
1365,-0.035,-0.039,0.031,-0.002
1372,-0.007,-0.036,-0.025,-0.004
1378,0.077,-0.025,0.003,-0.003
1385,0.077,-0.015,0.031,0.001
1391,-0.035,-0.017,0.003,0.001
1397,0.049,-0.011,0.031,0.004
